127.0.0.1 - - [20/Apr/2019:19:34:34 +0530] "GET / HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [20/Apr/2019:19:34:39 +0530] "GET /spring-crm-rest/ HTTP/1.1" 200 68
0:0:0:0:0:0:0:1 - - [20/Apr/2019:19:35:17 +0530] "GET /spring-rest-demo/api/customers HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [20/Apr/2019:19:36:06 +0530] "GET /spring-crm-rest/api/customers HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [20/Apr/2019:19:36:06 +0530] "GET /spring-crm-rest/api/customers HTTP/1.1" 500 18385
0:0:0:0:0:0:0:1 - - [20/Apr/2019:19:36:48 +0530] "GET /spring-crm-rest/api/customers HTTP/1.1" 500 18385
0:0:0:0:0:0:0:1 - - [20/Apr/2019:19:37:53 +0530] "GET /spring-crm-rest/api/customers HTTP/1.1" 200 389
0:0:0:0:0:0:0:1 - - [20/Apr/2019:20:41:38 +0530] "GET /spring-crm-rest HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Apr/2019:20:41:38 +0530] "GET /spring-crm-rest/ HTTP/1.1" 200 130
0:0:0:0:0:0:0:1 - - [20/Apr/2019:20:41:40 +0530] "GET /favicon.ico HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [20/Apr/2019:20:41:41 +0530] "GET /spring-crm-rest/api/customers HTTP/1.1" 200 389
0:0:0:0:0:0:0:1 - - [20/Apr/2019:21:08:27 +0530] "GET /spring-crm-rest/api/customers/1 HTTP/1.1" 404 1053
0:0:0:0:0:0:0:1 - - [20/Apr/2019:21:09:05 +0530] "GET /spring-crm-rest/api/customers HTTP/1.1" 200 389
0:0:0:0:0:0:0:1 - - [20/Apr/2019:21:09:19 +0530] "GET /spring-crm-rest/api/customers/2 HTTP/1.1" 404 1053
0:0:0:0:0:0:0:1 - - [20/Apr/2019:21:10:17 +0530] "GET /spring-crm-rest/api/customers/2 HTTP/1.1" 404 1053
0:0:0:0:0:0:0:1 - - [20/Apr/2019:21:10:50 +0530] "GET /spring-crm-rest/api/customers/2 HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [20/Apr/2019:21:11:38 +0530] "GET /spring-crm-rest/api/customers/2 HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [20/Apr/2019:21:31:28 +0530] "GET /spring-crm-rest/api/customers/2 HTTP/1.1" 500 4296
0:0:0:0:0:0:0:1 - - [20/Apr/2019:21:31:45 +0530] "GET /spring-crm-rest/api/customers/2 HTTP/1.1" 500 4296
0:0:0:0:0:0:0:1 - - [20/Apr/2019:21:32:00 +0530] "GET /spring-crm-rest/api/customers HTTP/1.1" 200 389
0:0:0:0:0:0:0:1 - - [20/Apr/2019:22:01:43 +0530] "GET /spring-crm-rest/api/customers/2 HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [20/Apr/2019:22:01:48 +0530] "GET /spring-crm-rest/api/customers/22 HTTP/1.1" 404 87
0:0:0:0:0:0:0:1 - - [20/Apr/2019:22:01:55 +0530] "GET /spring-crm-rest/api/customers/22a HTTP/1.1" 400 216
0:0:0:0:0:0:0:1 - - [20/Apr/2019:22:02:21 +0530] "GET /spring-crm-rest/api/customers/22 HTTP/1.1" 404 87
0:0:0:0:0:0:0:1 - - [20/Apr/2019:22:14:56 +0530] "POST /spring-crm-rest/api/customers HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [20/Apr/2019:22:16:00 +0530] "GET /spring-crm-rest/api/customers HTTP/1.1" 200 465
0:0:0:0:0:0:0:1 - - [20/Apr/2019:22:25:04 +0530] "PUT /spring-crm-rest/api/customers HTTP/1.1" 200 81
0:0:0:0:0:0:0:1 - - [20/Apr/2019:22:25:39 +0530] "GET /spring-crm-rest/api/customers HTTP/1.1" 200 459
0:0:0:0:0:0:0:1 - - [20/Apr/2019:22:34:03 +0530] "GET /spring-crm-rest/api/customers HTTP/1.1" 200 459
0:0:0:0:0:0:0:1 - - [20/Apr/2019:22:34:26 +0530] "DELETE /spring-crm-rest/api/customers/44 HTTP/1.1" 400 100
0:0:0:0:0:0:0:1 - - [20/Apr/2019:22:37:23 +0530] "DELETE /spring-crm-rest/api/customers/44 HTTP/1.1" 404 87
0:0:0:0:0:0:0:1 - - [20/Apr/2019:22:37:30 +0530] "DELETE /spring-crm-rest/api/customers/4 HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [20/Apr/2019:22:37:36 +0530] "GET /spring-crm-rest/api/customers HTTP/1.1" 200 383
